ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
586;Mezilaurus lindaviana;Lauraceae;Mezilaurus;Schwacke & Mez;http://www.tropicos.org/Name/17801693;shrub/ tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;141;24;14860352;7;NA;NA;0;NA;NA;NA;NA;VU;EN;EN;CR;CR;CR;CR;CR;GS;NA;NA
587;Mezilaurus synandra;Lauraceae;Mezilaurus;(Mez) Kosterm.;http://www.tropicos.org/Name/17802467;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;69;35;33958693;8;NA;NA;0;NA;NA;NA;NA;VU;EN;VU;EN;EN;CR;CR;CR;SA;NA;NA
588;Miconia acuminata;Melastomataceae;Miconia;(Steud.) Naudin;http://www.tropicos.org/Name/50162460;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;50;14;3629679;7;NA;NA;0;NA;NA;NA;NA;NA;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
589;Miconia chrysophylla;Melastomataceae;Miconia;(Rich.) Urb.;http://www.tropicos.org/Name/20302358;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;457;63;164456145;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
590;Miconia egensis;Melastomataceae;Miconia;Cogn.;http://www.tropicos.org/Name/20301047;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;66;10;12667975;7;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;EN;EN;EN;SA;NA;NA
591;Miconia kappleri;Melastomataceae;Miconia;Naudin;http://www.tropicos.org/Name/20301124;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;CR;CR;CR;CR;CR;CR;GS;NA;NA
592;Miconia lepidota;Melastomataceae;Miconia;DC.;http://www.tropicos.org/Name/20301138;tree/ shrub;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;58;24;21824824;7;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
593;Miconia longifolia;Melastomataceae;Miconia;(Aubl.) DC.;http://www.tropicos.org/Name/20302414;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;13;9;11079905;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
594;Miconia mirabilis;Melastomataceae;Miconia;(Aubl.) L.O. Williams;http://www.tropicos.org/Name/20300170;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;268;36;33837840;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;CR;CR;CR;CR;CR;CR;WAN;NA;NA
595;Miconia myriantha;Melastomataceae;Miconia;Benth.;http://www.tropicos.org/Name/20302430;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;28;10;14399232;7;NA;NA;0;NA;NA;Least Concern;2020;NA;VU;NA;VU;VU;VU;VU;VU;GS;NA;NA
596;Miconia prasina;Melastomataceae;Miconia;(Sw.) DC.;http://www.tropicos.org/Name/20300177;shrub/ tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;77;21;12269179;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
597;Miconia serrulata;Melastomataceae;Miconia;(DC.) Naudin;http://www.tropicos.org/Name/20300182;shrub/ tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;13;5;5046294;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
598;Miconia tomentosa;Melastomataceae;Miconia;(Rich.) D. Don ex DC.;http://www.tropicos.org/Name/50074765;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;60;20;22657859;7;NA;NA;0;NA;NA;Lower Risk/least concern;1998;VU;VU;NA;NA;VU;VU;VU;VU;GS;NA;NA
599;Miconia tschudyoides;Melastomataceae;Miconia;Cogn.;http://www.tropicos.org/Name/50171817;tree/ shrub;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;11;11;665986;6;NA;NA;0;NA;NA;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
600;Micrandra elata;Euphorbiaceae;Micrandra;(Didr.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12801614;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;787;28;271172799;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;GS;NA;NA
601;Micrandra spruceana;Euphorbiaceae;Micrandra;(Baill.) R.E. Schult.;http://www.tropicos.org/Name/12805124;tree;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;1088;85;572041449;9;1;2;0.05;NA;1;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;WAN;NA;NA
602;Micropholis egensis;Sapotaceae;Micropholis;(A. DC.) Pierre;http://www.tropicos.org/Name/28700715;tree;NA;NA;NA;NA;1;NA;NA;1;1;1;NA;1338;244;339969772;9;NA;NA;0;NA;NA;Least Concern;2021;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
603;Micropholis guyanensis;Sapotaceae;Micropholis;(A. DC.) Pierre;http://www.tropicos.org/Name/28700730;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;3800;700;1283831149;9;1;4;0.22;NA;NA;Least Concern;2021;VU;VU;NA;NA;VU;VU;VU;VU;SA;NA;NA
604;Micropholis melinoniana;Sapotaceae;Micropholis;Pierre;http://www.tropicos.org/Name/28700903;tree;NA;1;NA;NA;1;NA;NA;NA;1;NA;NA;374;109;97417194;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;CA;NA;NA
605;Micropholis mensalis;Sapotaceae;Micropholis;(Baehni) Aubr<e9>v.;http://www.tropicos.org/Name/28700904;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;161;51;65528149;8;NA;NA;0;NA;NA;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;CA;NA;NA
606;Micropholis obscura;Sapotaceae;Micropholis;T.D. Penn.;http://www.tropicos.org/Name/28700985;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;130;50;14693567;7;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;VU;VU;VU;VU;VU;WAN;NA;NA
607;Micropholis venulosa;Sapotaceae;Micropholis;(Mart. & Eichler) Pierre;http://www.tropicos.org/Name/28700572;shrub/ tree;1;NA;1;1;NA;NA;NA;NA;1;1;NA;1590;487;512746833;9;1;4;0.07;NA;1;Least Concern;2021;VU;VU;NA;NA;VU;VU;VU;VU;GS;NA;NA
608;Minquartia guianensis;Olacaceae;Minquartia;Aubl.;http://www.tropicos.org/Name/22900119;tree;NA;NA;1;1;1;NA;1;NA;1;1;NA;3221;804;812153967;9;1;4;0.22;NA;1;Lower Risk/near threatened;1998;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
609;Monopteryx inpae;Fabaceae;Monopteryx;W.A. Rodrigues;http://www.tropicos.org/Name/13013287;tree;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;148;39;32067690;8;NA;NA;0;NA;NA;NA;NA;NA;VU;EN;CR;EN;CR;CR;CR;CA;NA;NA
610;Monopteryx uaucu;Fabaceae;Monopteryx;Spruce ex Benth.;http://www.tropicos.org/Name/13035988;tree;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;621;48;444552197;9;1;2;0.05;NA;NA;Least Concern;2019;NA;NA;VU;EN;VU;VU;EN;EN;WAN;NA;NA
611;Mora excelsa;Fabaceae;Mora;Benth.;http://www.tropicos.org/Name/13035989;tree;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;1279;23;367711898;9;NA;NA;0;NA;NA;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
612;Mora gonggrijpii;Fabaceae;Mora;(Kleinhoonte) Sandwith;http://www.tropicos.org/Name/13000175;tree;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;998;25;259410383;8;1;4;0.02;NA;1;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
613;Mora paraensis;Fabaceae;Mora;(Ducke) Ducke;http://www.tropicos.org/Name/13000178;tree;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2879;55;314922748;8;NA;NA;0;NA;NA;Near Threatened;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
614;Moronobea coccinea;Clusiaceae;Moronobea;Aubl.;http://www.tropicos.org/Name/7801392;tree;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA;173;60;33144867;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
615;Mouriri acutiflora;Melastomataceae;Mouriri;Naudin;http://www.tropicos.org/Name/20303671;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;573;82;103225692;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
616;Mouriri barinensis;Melastomataceae;Mouriri;(Morley) Morley;http://www.tropicos.org/Name/20304823;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;0;NA;NA;NA;0;NA;1;Endangered;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
617;Mouriri brevipes;Melastomataceae;Mouriri;Hook.;http://www.tropicos.org/Name/20303673;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;31;5;15649174;7;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
618;Mouriri collocarpa;Melastomataceae;Mouriri;Ducke;http://www.tropicos.org/Name/20303674;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;282;81;33879990;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;EN;EN;CR;EN;CR;GS;NA;NA
619;Mouriri crassifolia;Melastomataceae;Mouriri;Sagot;http://www.tropicos.org/Name/20301504;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;129;60;20006691;7;NA;NA;0;NA;NA;NA;NA;VU;EN;CR;CR;CR;CR;CR;CR;GS;NA;NA
620;Mouriri grandiflora;Melastomataceae;Mouriri;DC.;http://www.tropicos.org/Name/20303372;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;427;91;161462141;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;GS;NA;NA
621;Mouriri huberi;Melastomataceae;Mouriri;Cogn.;http://www.tropicos.org/Name/20303382;tree;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;88;61;26046479;7;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
622;Mouriri nigra;Melastomataceae;Mouriri;(DC.) Morley;http://www.tropicos.org/Name/20303378;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;456;137;157017093;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;NA;NA
623;Mouriri oligantha;Melastomataceae;Mouriri;Pilg.;http://www.tropicos.org/Name/20303369;shrub/ tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;16;7;4441760;7;NA;NA;0;NA;NA;Least Concern;2020;NA;VU;EN;EN;EN;EN;EN;EN;CA;NA;NA
624;Mouriri sagotiana;Melastomataceae;Mouriri;Triana;http://www.tropicos.org/Name/20302599;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;134;33;30969884;7;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
625;Mouriri sideroxylon;Melastomataceae;Mouriri;Sagot ex Triana;http://www.tropicos.org/Name/20301518;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;41;10;25097049;7;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
626;Mouriri vernicosa;Melastomataceae;Mouriri;Naudin;http://www.tropicos.org/Name/20301522;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;150;32;49014503;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
627;Muntingia calabura;Muntingiaceae;Muntingia;L.;http://www.tropicos.org/Name/11700033;tree;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;VU;VU;EN;EN;EN;CR;CR;CA;NA;NA
628;Myrcia coumete;Myrtaceae;Myrcia;(Aubl.) DC.;http://www.tropicos.org/Name/22102107;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;662246;6;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;EN;EN;EN;CR;EN;CR;GS;NA;NA
629;Myrcia deflexa;Myrtaceae;Myrcia;(Poir.) DC.;http://www.tropicos.org/Name/22101775;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;44;22;15332570;7;NA;NA;0;NA;NA;Least Concern;2021;VU;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
630;Myrcia minutiflora;Myrtaceae;Myrcia;Sagot;http://www.tropicos.org/Name/22103261;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;7;6;1534389;6;NA;NA;0;NA;NA;Least Concern;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
631;Myrcia paivae;Myrtaceae;Myrcia;O. Berg;http://www.tropicos.org/Name/22101891;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;102;44;17708853;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
632;Myrcia subsessilis;Myrtaceae;Myrcia;O. Berg;http://www.tropicos.org/Name/22101341;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
633;Myrcia sylvatica;Myrtaceae;Myrcia;(G. Mey.) DC.;http://www.tropicos.org/Name/22101901;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;47;22;12751566;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
634;Myrcianthes rhopaloides;Myrtaceae;Myrcianthes;(Kunth) McVaugh;http://www.tropicos.org/Name/22102005;tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
635;Myrciaria floribunda;Myrtaceae;Myrciaria;(H. West ex Willd.) O. Berg;http://www.tropicos.org/Name/22101783;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;731;175;224973982;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;EN;EN;SA;NA;NA
636;Myroxylon balsamum;Fabaceae;Myroxylon;(L.) Harms;http://www.tropicos.org/Name/13003351;tree;1;NA;1;1;NA;NA;1;1;1;NA;NA;167;77;61204557;8;NA;NA;0;NA;1;Least Concern;2021;NA;VU;NA;NA;VU;VU;VU;VU;WAN;NA;NA
637;Myrsine guianensis;Primulaceae;Myrsine;(Aubl.) Kuntze;http://www.tropicos.org/Name/22000930;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;3;2;177314;5;NA;NA;0;NA;NA;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;CA;NA;NA
638;Myrsine pellucida;Primulaceae;Myrsine;(Ruiz & Pav.) Spreng.;http://www.tropicos.org/Name/22000981;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
639;Naucleopsis guianensis;Moraceae;Naucleopsis;(Mildbr.) C.C. Berg;http://www.tropicos.org/Name/21300002;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;29;19;3860431;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
640;Nectandra acuminata;Lauraceae;Nectandra;(Nees & C. Mart.) J.F. Macbr.;http://www.tropicos.org/Name/17802352;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;20;13;11544816;7;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;VU;VU;VU;VU;VU;VU;WAN;NA;NA
641;Nectandra acutifolia;Lauraceae;Nectandra;(Ruiz & Pav.) Mez;http://www.tropicos.org/Name/17800057;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;38;6;12458905;7;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;CR;CR;CR;CR;CR;CR;WAN;NA;NA
642;Nectandra amazonum;Lauraceae;Nectandra;Nees;http://www.tropicos.org/Name/17801027;tree;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;468;61;182763969;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
643;Nectandra cissiflora;Lauraceae;Nectandra;Nees;http://www.tropicos.org/Name/17801046;tree;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;94;41;37803950;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;WAN;NA;NA
644;Nectandra cuspidata;Lauraceae;Nectandra;Nees & Mart.;http://www.tropicos.org/Name/17801053;tree;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;355;109;178351769;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;VU;EN;SA;NA;NA
645;Nectandra dasystyla;Lauraceae;Nectandra;Rohwer;http://www.tropicos.org/Name/17806200;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Vulnerable;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
646;Nectandra globosa;Lauraceae;Nectandra;(Aubl.) Mez;http://www.tropicos.org/Name/17804125;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;45;17;15861455;7;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
647;Nectandra hihua;Lauraceae;Nectandra;(Ruiz & Pav.) Rohwer;http://www.tropicos.org/Name/17805987;tree;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;207;16;73013929;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;EN;EN;GS;NA;NA
648;Nectandra laurel;Lauraceae;Nectandra;Klotzsch ex Nees;http://www.tropicos.org/Name/17801070;tree;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;2;1;236550;5;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
649;Nectandra lineata;Lauraceae;Nectandra;(Kunth) Rohwer;http://www.tropicos.org/Name/17806021;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;40;9;7702126;7;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;EN;CR;EN;EN;CR;CR;WAN;NA;NA
650;Nectandra lineatifolia;Lauraceae;Nectandra;(Ruiz & Pav.) Mez;http://www.tropicos.org/Name/17800077;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;12;5;4267497;7;NA;NA;0;NA;NA;Least Concern;2018;NA;NA;VU;EN;VU;VU;EN;EN;WAN;NA;NA
651;Nectandra longifolia;Lauraceae;Nectandra;(Ruiz & Pav.) Nees;http://www.tropicos.org/Name/17801079;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;106;37;35591843;8;NA;NA;0;NA;NA;NA;NA;NA;NA;VU;NA;VU;VU;VU;VU;WAN;NA;NA
652;Nectandra membranacea;Lauraceae;Nectandra;(Sw.) Griseb.;http://www.tropicos.org/Name/17801086;tree;NA;NA;NA;1;NA;NA;1;1;NA;NA;NA;75;21;12291493;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;EN;CR;EN;EN;CR;CR;WAN;NA;NA
653;Nectandra pulverulenta;Lauraceae;Nectandra;Nees;http://www.tropicos.org/Name/17801111;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;235;66;58163855;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
654;Nectandra reticulata;Lauraceae;Nectandra;(Ruiz & Pav.) Mez;http://www.tropicos.org/Name/17800085;tree;NA;NA;1;1;NA;NA;1;1;NA;NA;1;42;23;18030109;7;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;EN;CR;EN;EN;CR;CR;CA;NA;NA
655;Nectandra turbacensis;Lauraceae;Nectandra;(Kunth) Nees;http://www.tropicos.org/Name/17801137;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;100;23;24658308;7;NA;NA;0;NA;NA;Least Concern;2021;NA;VU;VU;VU;VU;VU;VU;EN;WAN;NA;NA
656;Neea floribunda;Nyctaginaceae;Neea;Poepp. & Endl.;http://www.tropicos.org/Name/22500093;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;640;158;327921215;9;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
657;Neea ovalifolia;Nyctaginaceae;Neea;Spruce ex J.A. Schmidt;http://www.tropicos.org/Name/22500115;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;87;52;36056459;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;VU;EN;GS;NA;NA
658;Ochroma pyramidale;Malvaceae;Ochroma;(Cav. ex Lam.) Urb.;http://www.tropicos.org/Name/3900204;tree;NA;NA;1;1;NA;NA;1;1;1;NA;1;29;12;10194971;7;NA;NA;0;1;NA;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;WAN;NA;NA
659;Ocotea aciphylla;Lauraceae;Ocotea;(Nees & Mart.) Mez;http://www.tropicos.org/Name/17800041;tree;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;1009;223;458300673;9;1;2;0.06;NA;NA;Lower Risk/least concern;1998;NA;VU;VU;VU;VU;VU;VU;VU;GS;NA;NA
660;Ocotea amazonica;Lauraceae;Ocotea;(Meisn.) Mez;http://www.tropicos.org/Name/17800046;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;195;93;83312701;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;CA;NA;NA
661;Ocotea argyrophylla;Lauraceae;Ocotea;Ducke;http://www.tropicos.org/Name/17802108;tree;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;234;98;66345979;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;WAN;NA;NA
662;Ocotea bofo;Lauraceae;Ocotea;Kunth;http://www.tropicos.org/Name/17801157;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;214;64;63802603;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;VU;VU;NA;VU;WAN;NA;NA
663;Ocotea cinerea;Lauraceae;Ocotea;van der Werff;http://www.tropicos.org/Name/50175370;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;720;177;340900603;9;NA;NA;0;NA;NA;Least Concern;2021;VU;EN;CR;CR;CR;CR;CR;CR;CA;NA;NA
664;Ocotea costulata;Lauraceae;Ocotea;(Nees) Mez;http://www.tropicos.org/Name/17800194;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;37;20;13735503;7;NA;NA;0;NA;1;NA;NA;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
665;Ocotea cuneifolia;Lauraceae;Ocotea;(Ruiz & Pav.) Mez;http://www.tropicos.org/Name/17800196;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;8;5;2999916;6;NA;NA;0;NA;NA;Least Concern;2021;NA;NA;CR;CR;CR;CR;CR;CR;WAN;NA;NA
666;Ocotea cymbarum;Lauraceae;Ocotea;Kunth;http://www.worldfloraonline.org/taxon/wfo-0000383024;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;258;69;102185506;8;NA;NA;0;NA;1;Lower Risk/least concern;1998;NA;VU;VU;NA;VU;VU;VU;VU;CA;NA;NA
667;Ocotea discrepens;Lauraceae;Ocotea;C.K. Allen;http://www.tropicos.org/Name/17803221;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;173583;5;NA;NA;0;NA;NA;Least Concern;2021;NA;VU;CR;CR;CR;CR;CR;CR;GS;NA;NA
668;Ocotea fasciculata;Lauraceae;Ocotea;(Nees) Mez;http://www.tropicos.org/Name/17800216;shrub/ tree;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;201;33;14996938;7;NA;NA;0;NA;NA;Least Concern;2019;VU;EN;VU;EN;EN;EN;EN;CR;GS;NA;NA
669;Ocotea fragrantissima;Lauraceae;Ocotea;Ducke;http://www.worldfloraonline.org/taxon/wfo-0001070821;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;11;6;6486256;7;NA;NA;0;NA;NA;Endangered;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
670;Ocotea glomerata;Lauraceae;Ocotea;(Nees) Mez;http://www.tropicos.org/Name/17800229;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;702;93;196608949;8;NA;NA;0;NA;NA;Least Concern;2021;VU;EN;VU;EN;EN;CR;EN;CR;GS;NA;NA
671;Ocotea guianensis;Lauraceae;Ocotea;Aubl.;http://www.tropicos.org/Name/17800234;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;938;120;372006594;9;NA;NA;0;NA;NA;Least Concern;2021;VU;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
672;Ocotea javitensis;Lauraceae;Ocotea;(Kunth) Pittier;http://www.tropicos.org/Name/17804691;tree;NA;NA;1;1;NA;NA;1;1;NA;NA;NA;236;93;97054564;8;NA;NA;0;NA;1;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
